,Straat,Woonplaats,Aantal woningen,Gem. bouwjaar,Gem. woonoppervlakte (m²),Bioscoop (m),Treinstation (m),Busstation (m),School (m),Kinderopvang (m),Supermarkt (m),Besteedbaar inkomen
191,Zoelenerf,Tilburg,30,2020,131,7036,383,144,328,255,1203,-
192,Zomerstraat,Tilburg,17,1925,118,605,706,77,339,344,52,"€ 15,605"
193,Zonderlokstraat,Tilburg,1,1981,50,2149,2520,499,941,786,963,-
194,Zoom,Tilburg,21,1980,146,2443,2120,274,170,63,341,"€ 31,938"
195,Zouavenlaan,Tilburg,41,1958,164,2130,1414,98,123,90,364,"€ 22,884"
196,Zoutelandestraat,Tilburg,9,2020,169,6873,608,215,468,446,1523,-
197,Zuidbroekstraat,Tilburg,27,2015,185,7308,822,532,211,66,1299,-
198,Zuiderkruisweg,Tilburg,5,1993,280,3131,3134,662,863,644,910,-
199,Zuidhornstraat,Tilburg,11,2019,142,6826,698,318,549,530,1625,-
200,Zuid-Oosterstraat,Tilburg,129,1923,70,482,838,99,372,224,436,"€ 19,179"
201,Zuilichemstraat,Tilburg,33,2018,170,6835,638,256,494,473,1574,-
202,Zuivelstraat,Tilburg,9,1965,141,1129,2472,251,131,131,234,-
203,Zundertstraat,Tilburg,34,2019,159,6935,698,294,554,447,1543,-
204,Zuringhof,Tilburg,106,1967,95,4253,1918,193,495,192,448,"€ 17,204"
205,Zwaagerf,Tilburg,17,2020,148,6941,524,117,404,351,1406,-
206,Zwaanstraat,Tilburg,81,2010,25,150,635,174,726,348,190,"€ 15,605"
207,Zwaluwsestraat,Tilburg,1,1991,75,4680,4555,1344,1840,1385,1585,-
208,Zwaluwstraat,Tilburg,24,1982,101,1884,2313,78,128,54,300,"€ 17,204"
209,Zwammerdamstraat,Tilburg,6,2018,154,6845,642,258,497,475,1570,-
210,Zwartsluishof,Tilburg,41,2019,67,6877,785,391,645,556,1655,-
211,Zwartvenseweg,Tilburg,136,1970,115,4456,1368,300,488,145,391,"€ 25,831"
212,Zwijsenplein,Tilburg,1,1900,14463,524,753,176,655,229,313,-
213,Zwin,Tilburg,12,1993,209,2841,1584,364,752,317,936,"€ 37,452"
